speechiness,loudness,danceability,energy,acousticness,target
1500,-5464,589,797,2890000,1
576,-8932,871,341,3110000,1
338,-4777,464,943,247000,1
533,-4138,457,887,18600,1
738,-2696,326,908,1180000,1
1170,-7627,565,645,58800000,1
1260,-5801,465,751,27900000,1
279,-9728,290,386,51000000,1
397,-6010,633,584,973000,1
393,-5059,467,769,3930,1
544,-28958,514,174,96500000,1
308,-9110,316,484,33400,1
271,-8279,546,351,70100000,1
345,-5131,797,542,3900000,1
630,-3125,558,982,2210000,1
436,-18526,85.5,122,94600000,1
396,-8257,430,823,2020000,1
277,-11221,456,513,447000,1
426,-6073,724,616,31200000,1
858,-5845,547,922,619000,1
272,-12503,551,293,48600000,1
407,-9760,502,758,915000,1
1490,-4314,389,767,127000,1
284,-3192,510,693,600000,1
353,-3789,410,439,27300000,1
406,-5639,506,680,45200000,1
405,-6105,380,829,8400,1
295,-9113,379,593,58400000,1
386,-7760,516,651,5370000,1
315,-5176,385,637,4550000,1
338,-5603,502,912,13000000,1
788,-6268,527,790,1600000,1
582,-5301,676,674,10700000,1
740,-5277,855,583,19600000,1
539,-2122,627,819,5260000,1
3430,-11450,695,620,55000000,1
497,-10164,653,519,40600000,1
419,-4530,425,889,11600,1
811,-5420,583,573,20800000,1
571,-7822,641,939,22300,1
1860,-6210,887,855,14600000,1
343,-5854,528,904,83300,1
290,-6174,697,919,694000,1
659,-4724,505,948,18000,1
392,-4657,294,860,3220,1
362,-6746,446,658,209000,1
1990,-4758,348,875,3410000,1
278,-7987,676,515,13500000,1
580,-7239,339,829,737000,1
276,-6427,627,854,22300000,1
1570,-3205,510,818,4390000,1
310,-9357,448,614,6750000,1
302,-4722,660,698,1920,1
323,-5722,644,432,75800000,1
1270,-4075,633,788,1110000,1
308,-8398,558,508,49800000,1
513,-3895,562,862,1040000,1
427,-12436,628,455,14200000,1
676,-6903,674,789,178000,1
350,-9769,320,84.6,85200000,1
453,-9070,266,831,86200,1
315,-8622,675,380,71500000,1
1520,-11889,310,874,41600,1
463,-6625,705,718,940000,1
1160,-6384,510,789,799000,1
342,-7069,432,642,17700000,1
316,-9342,389,476,61900000,1
353,-14178,519,441,2040000,1
347,-3818,706,923,8100000,1
300,-10072,669,848,2730000,1
692,-5669,824,489,30200000,1
365,-8176,616,727,401000,1
355,-6473,694,812,6660000,1
438,-9887,602,711,16600000,1
401,-4437,493,606,420000,1
392,-7150,318,646,521000,1
329,-9087,395,495,49600000,1
849,-5818,479,754,45500000,1
675,-6248,530,970,354000,1
479,-5931,597,457,3740000,1
323,-4837,684,710,25200000,1
297,-5703,624,910,2850000,1
291,-10916,627,468,52200000,1
348,-7592,529,652,60700000,1
782,-7767,736,510,17100000,1
291,-11233,394,348,59100000,1
518,-10434,641,703,39700000,1
434,-4991,346,785,165000,1
430,-14209,494,139,92500000,1
1330,-10390,615,616,3990000,1
385,-11493,550,631,89800,1
380,-9026,314,797,570000,1
317,-8467,509,702,95700,1
355,-7552,578,633,8690000,1
896,-4975,545,780,753000,1
313,-11093,550,123,86000000,1
399,-6475,582,817,170000,1
265,-6843,603,724,135000,1
759,-10210,661,642,43800000,1
437,-3822,640,902,1980000,1
437,-5490,582,744,45900,1
311,-7085,780,653,42000000,1
271,-7496,741,598,14600000,1
1250,-4975,583,931,1740000,1
322,-5852,466,770,596000,1
317,-7393,565,587,5730000,1
299,-14092,322,210,80300000,1
601,-7424,683,631,33500000,1
761,-6506,394,944,178000,1
394,-4557,481,956,465000,1
317,-4816,605,779,27200000,1
267,-11396,543,395,70100000,1
401,-4691,391,742,277000,1
434,-7544,783,706,4930000,1
661,-6842,606,923,67600,1
664,-7616,573,727,13200000,1
2210,-4718,639,815,12300000,1
735,-6136,525,922,16700,1
446,-5317,482,733,3840000,1
324,-5787,413,725,36900000,1
1140,-5383,406,778,154000,1
399,-3943,582,859,20900,1
441,-11060,719,625,11600000,1
853,-7519,594,813,9860000,1
412,-5865,538,802,109000,1
652,-3635,584,876,698000,1
311,-8896,760,652,13700000,1
369,-6785,563,612,4060000,1
340,-12554,340,533,93900000,1
446,-6356,467,848,484,1
483,-13319,593,557,38900000,1
2640,-6174,654,600,110000,1
327,-9258,402,597,3850000,1
312,-18251,551,233,71000000,1
508,-9410,779,546,342000,1
380,-8998,248,850,597,1
654,-7086,589,750,162000,1
648,-3816,385,972,19300,1
300,-12621,731,451,48200000,1
499,-8050,794,705,495000,1
455,-12052,783,929,40600,1
678,-1163,330,963,135,1
426,-4494,340,708,580000,1
443,-7646,627,860,207000,1
1400,-3586,372,940,178000,1
508,-3300,447,927,29700,1
342,-6905,249,660,50400000,1
321,-20796,270,85.3,86000000,1
277,-4385,625,800,271000,1
404,-7998,341,714,35400000,1
344,-5838,383,777,22900,1
1050,-5626,506,948,72700000,1
589,-3241,375,914,55800,1
611,-10464,503,584,166000,1
427,-7087,826,695,11500000,1
468,-5456,398,862,3530000,1
762,-3942,392,979,1630000,1
364,-5315,644,349,20600000,1
350,-6323,568,591,43900,1
641,-6938,618,750,32400000,1
910,-8164,345,484,21900000,1
405,-7390,196,751,252000,1
370,-9053,474,640,2600000,1
692,-7713,756,732,845000,1
392,-6951,638,666,784000,1
762,-7109,837,710,2860000,1
274,-5815,653,875,976000,1
300,-12621,731,451,48200000,1
1910,-5192,535,724,10200000,1
1990,-4758,348,875,3410000,1
553,-4956,982,641,22200,1
246,-6195,590,647,48300000,1
262,-5387,598,591,17900000,1
325,-9407,498,569,34600000,1
293,-10340,544,341,87700000,1
354,-8708,527,871,2290000,1
261,-7930,605,428,68500000,1
256,-7358,597,583,2970000,1
879,-10864,651,409,428000,1
260,-9604,568,324,89600000,1
410,-2719,685,898,434000,1
356,-4569,677,870,19900000,1
318,-9996,451,495,47200000,1
358,-9549,565,545,2890000,1
538,-5015,450,794,38800000,1
647,-6422,615,821,918000,1
452,-3249,438,940,8740,1
1330,-6051,513,970,5750,1
368,-6371,464,815,871000,1
5390,-13825,696,394,5790000,1
456,-5824,319,771,14200,1
559,-5889,720,742,3240000,1
1110,-10754,531,849,3890000,1
360,-6869,545,717,417000,1
227,-7619,650,611,52700000,1
588,-4742,550,872,8640000,1
1030,-3139,176,962,1660,1
1130,-1742,323,982,70600000,1
417,-9973,329,444,5780000,1
441,-3801,352,571,3000,1
249,-6907,530,550,16300000,1
2190,-2874,488,990,494000,1
353,-5619,639,684,966000,1
445,-9941,830,345,37000000,1
342,-20447,95.1,155,86500000,1
354,-8708,527,871,2290000,1
319,-6612,469,825,554000,1
800,-5936,724,755,11400000,1
452,-7327,215,927,27300,1
784,-7399,624,702,8550000,1
277,-7431,589,438,57300000,1
435,-3562,294,675,3150,1
437,-15249,63.5,86.8,98400000,1
783,-5885,209,928,857,1
320,-9930,481,616,13200000,1
2390,-7565,871,610,3070000,1
278,-8522,539,578,9870000,1
483,-7707,304,722,3020000,1
322,-5874,537,823,784000,1
1440,-9149,697,410,41200000,1
515,-3970,598,911,22200000,1
331,-9897,767,787,1630000,1
4960,-4174,670,834,21900,1
550,-6659,551,780,9410000,1
336,-5438,508,776,114000,1
778,-9711,345,727,25200000,1
1230,-6602,449,958,533,1
800,-9027,673,763,667000,1
425,-5316,814,874,22200,1
3760,-3157,623,965,135000,1
462,-7570,887,823,2370000,1
347,-12888,527,636,5990000,1
301,-7481,542,531,330000,1
283,-5186,641,601,29400000,1
264,-8729,569,674,4680000,1
351,-7067,530,759,984000,1
458,-6103,573,929,28200,1
371,-4666,549,867,1080000,1
517,-6912,842,941,13600000,1
276,-9882,465,427,79300000,1
258,-9129,360,501,6380000,1
562,-6952,351,883,3630000,1
973,-4771,400,984,880,1
464,-15895,554,168,92200000,1
1090,-16729,575,318,68300000,1
551,-8948,488,811,159000,1
926,-4210,318,975,562000,1
1350,-6796,918,638,4610000,1
570,-10233,710,461,69400000,1
461,-4122,607,912,4880000,1
308,-5685,391,630,326000,1
311,-5643,525,742,8740000,1
608,-12750,636,458,67900000,1
303,-6613,527,419,32700000,1
2510,-9528,854,467,784000,1
902,-3778,376,947,757000,1
1280,-7853,297,913,1710,1
1620,-7615,543,598,522000,1
337,-5485,468,815,52700,1
434,-4991,346,785,165000,1
3680,-6800,677,826,39500000,1
891,-8118,463,749,796000,1
452,-3602,500,947,4400000,1
448,-8451,435,880,265000,1
302,-9149,695,535,53500000,1
520,-8201,521,808,80500000,1
301,-5284,831,660,36200000,1
328,-4687,696,520,1570000,1
301,-5413,696,598,1460000,1
253,-7369,573,466,354000,1
433,-7700,353,557,33700000,1
340,-9664,712,483,17400000,1
807,-10017,796,825,316000,1
1500,-8201,460,906,2990,1
964,-10345,824,485,14500000,1
329,-6731,381,436,1180000,1
254,-6471,599,729,18100000,1
2120,-4762,639,929,326000,1
311,-5927,511,724,82600,1
2740,-8938,784,539,8180000,1
487,-14392,562,545,76400000,1
1190,-5408,307,791,2850000,1
1470,-3090,441,976,33500,1
484,-9303,658,496,14000000,1
302,-11859,470,320,62400000,1
965,-8744,822,522,49100000,1
1690,-2590,379,966,7670,1
286,-10493,508,251,56200000,1
348,-4262,639,792,1200000,1
987,-5972,446,963,6120000,1
242,-5975,713,506,15000000,1
1660,-10751,606,676,2660000,1
452,-7327,215,927,27300,1
428,-6255,232,719,11800,1
445,-5338,696,979,244000,1
465,-3857,496,871,607000,1
297,-8862,568,636,43100000,1
392,-8954,639,715,2430000,1
1610,-6944,350,782,71100,1
394,-2485,416,944,30200,1
762,-5928,468,971,571,1
4890,-3837,520,967,248000,1
365,-7390,468,839,45900000,1
372,-9935,515,430,970000,1
321,-8583,616,316,64500000,1
329,-6731,381,436,1180000,1
392,-6664,698,901,954000,1
298,-8951,666,501,3420000,1
340,-5581,293,778,1470000,1
526,-8276,764,661,2030000,1
395,-6354,697,667,380000,1
395,-8306,677,763,369000,1
347,-6711,560,825,78500,1
364,-18822,200,293,1330000,1
796,-11494,330,556,20700000,1
613,-8123,721,521,7080000,1
285,-6722,678,368,6580000,1
759,-8503,694,887,2090000,1
1140,-2481,251,962,9370,1
1390,-7109,313,846,1790000,1
405,-21482,366,143,90600000,1
686,-3348,521,855,2230000,1
543,-9150,289,879,1500000,1
362,-4118,413,862,750,1
581,-6112,633,969,1130000,1
595,-11248,754,401,507000,1
456,-5824,319,771,14200,1
