speechiness,loudness,danceability,energy,acousticness,target
2270,-5700,529,6910,2210000,3
3300,-13115,608,3540,33800000,3
459,-7227,835,5230,536000,3
1860,-3237,548,8470,6220000,3
317,-8764,598,4270,5460000,3
4370,-3198,843,5530,23600000,3
432,-10798,695,3430,7430000,3
4370,-8687,959,3940,15200000,3
2680,-5691,799,6860,13100000,3
793,-16454,755,3450,12000000,3
901,-5684,603,8750,6860000,3
2160,-6135,767,5600,3220000,3
5200,-6815,542,7330,58800000,3
1430,-4949,855,7920,55200000,3
3440,-8245,832,6290,22500000,3
2980,-8728,760,5310,27600000,3
4420,-4639,812,6390,34600000,3
1560,-7461,750,7060,8800000,3
2860,-4053,477,7270,86600,3
1690,-3657,831,7270,44700000,3
2830,-5603,884,6770,7780000,3
1780,-8685,570,4310,58300000,3
3620,-5935,652,9100,3190000,3
2450,-9849,421,5660,33700000,3
3320,-4848,629,6960,52000000,3
583,-3513,836,8230,343000,3
539,-7636,907,3930,45100000,3
3470,-5196,842,5900,6770000,3
3900,-12064,663,3510,40600000,3
3950,-8273,734,6400,12400000,3
2810,-7619,894,6180,4290000,3
2760,-7127,543,4810,60800000,3
461,-7327,664,6550,5900000,3
1480,-7332,858,5250,4430000,3
2640,-6345,812,6170,15400000,3
2010,-5139,850,8530,14700000,3
2640,-5507,674,6720,13900000,3
1670,-5215,735,8440,14200000,3
2130,-8301,448,7480,3560000,3
3680,-5019,897,3710,9040000,3
2460,-5718,648,7500,4830000,3
1390,-7679,825,5120,2040000,3
2790,-4384,797,7130,6960000,3
1730,-6016,762,5920,45300000,3
1320,-6362,924,5230,1100000,3
380,-5043,617,7720,4680000,3
647,-7855,770,5530,47500000,3
3420,-5260,808,7450,14500000,3
3680,-6492,760,7380,26800000,3
3070,-7131,860,8610,3610000,3
461,-7327,664,6550,5900000,3
3570,-8043,883,6740,21000000,3
1770,-7346,613,6400,906000,3
1580,-4928,600,7230,10900000,3
2640,-4616,686,7350,921000,3
1200,-6965,613,6310,6630000,3
1940,-4077,586,9270,924000,3
4240,-11618,530,3080,29200000,3
4810,-4857,566,8990,14300000,3
3020,-7392,642,5890,12400000,3
3310,-9790,506,4730,2290000,3
2810,-10896,831,6350,28500000,3
738,-1597,555,9830,5580000,3
1260,-5849,594,6720,43600000,3
3600,-4391,886,7080,17600000,3
1740,-9785,817,5840,43200000,3
4000,-6483,806,6980,12300000,3
1870,-10297,551,4380,24300000,3
2040,-7408,469,5650,19600000,3
3180,-7253,739,6680,5390000,3
3240,-7860,904,4980,919000,3
2880,-4674,867,6460,30300000,3
3690,-5912,566,6220,31200000,3
2380,-4116,652,8030,1650000,3
3620,-7939,871,4510,4080000,3
2660,-8145,759,7560,9030000,3
2960,-8723,883,4460,2530000,3
3290,-5245,801,8420,8260000,3
3510,-4770,704,8030,16500000,3
3180,-10331,890,5090,35000000,3
555,-11032,582,4650,5910000,3
328,-15350,408,2420,53800000,3
470,-10013,598,6180,54000000,3
2670,-4502,859,7140,18600000,3
4020,-5518,416,8770,15900000,3
2260,-5240,920,4240,418000,3
696,-8116,565,6440,42600000,3
2340,-10262,695,5030,24800000,3
2610,-9989,743,5600,17500000,3
3000,-5105,658,9360,17200000,3
3650,-13297,856,4270,9580000,3
3540,-13570,913,3510,1020000,3
2940,-5068,605,5830,35700000,3
3520,-5058,634,8450,602000,3
2940,-4946,803,7380,52800000,3
4930,-8715,565,4700,8210000,3
1090,-8411,777,4820,734000,3
2860,-4053,477,7270,86600,3
3280,-11810,690,5140,9750000,3
1930,-6465,484,6590,4670000,3
3630,-5508,520,8480,2320000,3
935,-3412,695,8910,29200000,3
1110,-6737,461,6830,26900000,3
891,-8360,774,5020,59800000,3
2850,-8667,861,5970,13900000,3
2470,-9369,797,7500,53300000,3
3320,-9535,755,5560,4810000,3
2990,-7928,773,6450,10200000,3
438,-6699,804,7700,203000,3
541,-8619,914,6980,631000,3
1980,-5387,833,7270,4850000,3
4400,-19112,970,2410,2460000,3
423,-6807,751,5760,4270000,3
304,-11051,384,1490,95200000,3
1330,-4861,824,9050,30200000,3
1930,-6323,850,6600,38600000,3
3430,-7080,614,9240,10200000,3
2050,-4646,770,6640,24200000,3
2640,-5180,908,6960,2130000,3
2370,-8534,903,5200,17300000,3
3790,-6431,881,6910,13000000,3
5400,-14163,713,1460,78400000,3
3050,-6137,807,6170,29900000,3
434,-2491,352,7580,53600000,3
2750,-6775,849,8030,5020000,3
1750,-13752,834,4690,9940000,3
2200,-14901,835,4470,15500000,3
5250,-7009,877,5940,10400000,3
1760,-3053,833,9180,17700000,3
2020,-3547,896,7800,8280000,3
1210,-5616,584,8590,1440000,3
1680,-7096,806,5010,6500000,3
2650,-6841,528,8160,46400000,3
1300,-4234,859,6250,2960000,3
2530,-5197,508,8080,12100000,3
500,-5817,824,5550,337000,3
382,-7040,749,5920,4270000,3
1320,-6362,924,5230,1100000,3
4450,-10479,849,4760,9650000,3
471,-10880,700,3930,60000000,3
2460,-6832,884,6390,11100000,3
485,-6959,781,5940,1360000,3
2080,-5004,770,7290,33500000,3
1530,-8300,874,8760,37700000,3
1950,-13725,781,4470,502000,3
4000,-5422,482,6350,36800000,3
2400,-5921,876,6360,5010000,3
2030,-12683,815,4590,2320000,3
473,-6548,806,6340,65100000,3
1780,-8685,570,4310,58300000,3
3180,-6233,869,6800,4160000,3
676,-10248,618,4480,2700000,3
1100,-9781,773,2810,24000000,3
3030,-6119,734,8640,2200000,3
524,-8823,727,5130,3350000,3
2080,-3695,883,8960,26800000,3
2900,-4384,786,9100,22900000,3
3620,-5061,801,7240,41100000,3
2660,-9105,854,4980,4420000,3
3910,-5602,879,5740,51900000,3
461,-6291,753,5240,5500000,3
1680,-2876,573,8670,8530000,3
2990,-4982,765,7190,1320000,3
1780,-6813,943,5240,4560000,3
2380,-5644,828,4890,1240000,3
2800,-9157,721,5650,24800000,3
2950,-7337,821,6430,475000,3
1660,-9238,570,4390,33100000,3
3350,-8109,827,5130,1310000,3
1200,-5782,669,6870,900000,3
3540,-4624,520,8910,52300000,3
1420,-10315,613,4910,87100000,3
1030,-10196,928,3410,6140000,3
2060,-10472,669,4230,3750000,3
478,-4138,539,9510,17400000,3
3920,-6295,856,5640,327000,3
1770,-5188,753,6800,12200000,3
3970,-5277,713,7930,27100000,3
2640,-5180,908,6960,2130000,3
2630,-6732,901,6140,1150000,3
486,-6819,633,8100,9970000,3
2560,-9208,629,4680,53100000,3
2790,-2902,836,9060,42600,3
3460,-4655,829,8520,35100000,3
1580,-9707,795,5350,53700000,3
785,-6071,657,8220,10800000,3
5640,-9659,620,7340,3530000,3
3340,-6433,867,5760,230000,3
1300,-6359,854,6280,42700000,3
4060,-4309,833,7660,7960000,3
3150,-8849,854,4740,5760000,3
2500,-5768,476,7470,753000,3
2890,-8216,593,5930,3060000,3
2690,-5946,843,8060,14300000,3
2790,-8822,803,5450,3360000,3
3170,-3112,907,7340,7410000,3
2850,-3707,736,9140,31800000,3
1370,-6159,854,4630,11700000,3
2210,-8155,337,7240,3940000,3
862,-10923,785,3430,59300000,3
514,-7648,716,5370,23300000,3
1660,-5293,731,7920,28500000,3
1470,-8266,826,5000,4450000,3
660,-9529,706,5740,36200000,3
3540,-5566,565,6410,5720000,3
1630,-5212,550,6370,59700000,3
4330,-6080,634,7390,14100000,3
2990,-8631,943,5280,291000,3
2400,-6587,747,5740,56100000,3
4790,-9839,668,4350,25700000,3
1180,-5851,582,6360,56600000,3
4490,-6656,550,5890,9990000,3
349,-7753,626,4250,30500000,3
286,-6442,669,5740,1750000,3
2140,-3563,773,8510,61800000,3
2220,-8013,841,5450,26800000,3
1520,-6682,610,5080,29700000,3
1680,-2876,573,8670,8530000,3
4330,-5763,693,6990,9640000,3
760,-8501,687,5100,74500000,3
2690,-5878,875,7450,2270000,3
409,-6876,792,5110,12400000,3
934,-6803,846,7250,36100000,3
461,-7327,664,6550,5900000,3
2890,-7913,815,7050,56900000,3
861,-5033,514,6380,2040000,3
2580,-2847,287,9560,9370000,3
625,-6113,722,5010,25500000,3
3040,-5429,364,7520,70000,3
2330,-6429,691,6790,20400000,3
4070,-5885,839,7930,54700000,3
3450,-14346,857,4620,17600000,3
2460,-6874,774,6270,2360000,3
1500,-9929,748,4700,20700000,3
2700,-7580,795,7450,8690000,3
1020,-5810,847,6290,3180000,3
1520,-3723,831,7400,557000,3
3530,-8482,561,6350,4460000,3
4030,-8788,760,6580,2960000,3
436,-6762,739,5720,34600000,3
3050,-4914,805,7670,22200000,3
1570,-10139,715,7380,826000,3
649,-6261,712,6790,3940000,3
374,-8623,625,5980,1630000,3
602,-8259,832,5490,16800000,3
2910,-9964,652,4830,65800000,3
1890,-10489,871,5450,1430000,3
3530,-5550,885,6930,21100000,3
2120,-9575,866,9090,28800000,3
3180,-9313,788,4510,11800000,3
829,-4475,814,6590,155000,3
1880,-4293,549,8530,2850000,3
3450,-7961,593,6480,7860000,3
2020,-4574,819,6260,748000,3
1380,-5701,902,6100,18900000,3
