speechiness,loudness,danceability,target
4.38,-10.259,29.5,7
6.23,-3.499,30.4,7
16.1,-6.958,56.8,7
2.98,-10.296,45.6,7
5.65,-4.714,56.6,7
4.81,-6.317,61.2,7
5.09,-5.11,32,7
4.59,-13.496,55.9,7
17.5,-4.616,67.1,7
18.6,-4.316,52.2,7
7.67,-3.129,43.3,7
5.82,-5.301,67.6,7
5.39,-2.122,62.7,7
13.2,-5.333,49.1,7
30,-6.473,67.8,7
5.54,-3.07,53.6,7
13.3,-4.957,39.7,7
3.99,-5.416,59.3,7
2.62,-4.642,63.3,7
6.36,-4.314,31.5,7
3.87,-6.44,71.8,7
6.59,-4.724,50.5,7
4.13,-14.726,51.1,7
3.15,-10.554,42.5,7
6.1,-3.838,56.2,7
6.7,-5.511,68.5,7
6.36,-8.215,13,7
9.26,-2.72,40.6,7
4.05,-12.029,44.9,7
3.92,-4.495,46,7
11.7,-3.173,32.5,7
4.41,-5.51,48.5,7
4.76,-7.967,75.5,7
3.14,-4.142,27.1,7
3.39,-6.199,46.7,7
3.02,-5.655,47,7
4.96,-5.655,30.2,7
11.8,-3.003,57.6,7
9.09,-3.622,41.9,7
4.28,-10.357,33.7,7
6.1,-6.399,66.9,7
3.77,-3.695,43.6,7
3.87,-6.611,40.5,7
7.94,-6.49,22.2,7
5.6,-8.271,28,7
4.59,-2.699,53,7
3.32,-4.448,48.9,7
4.81,-11.155,42.6,7
2.93,-7.719,61.9,7
2.78,-5.305,61.9,7
2.92,-11.068,54.7,7
3.49,-13.528,21.4,7
17.7,-9.236,20.9,7
7.39,-4.326,48.6,7
3.61,-4.309,49.2,7
2.9,-4.649,47.2,7
2.58,-9.129,36,7
6.82,-10.213,64,7
3.1,-9.302,50.4,7
2.68,-14.426,51.4,7
3.19,-10.16,72.4,7
5.4,-5.746,66.2,7
2.64,-10.133,61.4,7
5.97,-3.547,60.9,7
3.74,-14.617,49.4,7
4.26,-5.404,42.9,7
6.32,-13.289,33.8,7
3.56,-4.369,46.1,7
3.24,-11.264,49,7
7.23,-6.693,44.2,7
3.29,-14.196,64.2,7
4.01,-4.437,49.3,7
3.47,-6.221,42,7
3.92,-7.15,31.8,7
3.86,-9.907,48.3,7
3.56,-9.321,67.4,7
4.41,-3.801,35.2,7
3.62,-6.581,40.1,7
3.08,-9.987,38.5,7
2.92,-8.794,61.5,7
3.04,-15.035,51.9,7
3.69,-5.139,31,7
3.01,-5.425,57.5,7
4.81,-4.199,41.7,7
4.67,-4.092,64.1,7
9.85,-7.644,38.2,7
6.95,-4.822,47.6,7
3.69,-8.793,39.2,7
3.26,-13.664,31,7
3.63,-11.81,55.2,7
6.58,-3.635,18.7,7
8.91,-4.019,47.5,7
2.7,-7.369,57,7
8.32,-2.769,37.8,7
3.65,-7.39,46.8,7
4.18,-9.799,35.9,7
3.73,-13.741,51.6,7
3.99,-6.475,58.2,7
3.26,-4.957,65.9,7
2.63,-7.127,59,7
4.4,-3.98,73.6,7
8.7,-4.197,25.2,7
2.58,-8.451,53.1,7
7.62,-4.745,64.8,7
9.46,-3.876,50.2,7
3.76,-5.87,37.7,7
4.5,-5.671,70.4,7
3.25,-11.479,44.3,7
6.86,-3.348,52.1,7
6.04,-4.056,41,7
2.64,-11.248,31.8,7
7.16,-6.777,70,7
4.74,-5.351,37.9,7
3.38,-10.688,39.3,7
2.88,-5.761,61.1,7
2.89,-6.318,66,7
3.04,-16.336,65.3,7
3.45,-9.698,77.8,7
7.02,-5.531,22.6,7
4.23,-6.48,50.3,7
4.02,-8.917,73.8,7
7.44,-4.845,65.4,7
3.94,-4.557,48.1,7
9.4,-5.611,43.8,7
6.98,-5.697,52.6,7
5.45,-5.373,59.8,7
6.5,-2.182,56.8,7
2.66,-9.31,47,7
8.75,-3.668,63.8,7
4.14,-1.69,39.3,7
3.01,-15.914,61.7,7
3.2,-3.92,45.1,7
11,-5.27,44.2,7
13,-5.576,56.8,7
8.77,-4.027,39.3,7
5.02,-5.822,73,7
4.62,-4.329,67.4,7
2.64,-10.133,61.4,7
11.3,-6.685,25.6,7
3.32,-6.617,56.5,7
4.36,-9.222,82.4,7
4.48,-2.863,57.1,7
3.32,-6.984,68.1,7
3.9,-7.426,37.1,7
5.99,-3.418,59.5,7
7.07,-11.187,54.1,7
11.7,-2.64,11.2,7
3.99,-5.834,41.9,7
4.01,-10.328,37.6,7
3.98,-9.011,49.9,7
6.18,-4.172,53.8,7
6.86,-4.673,47.1,7
2.63,-11.218,55.3,7
5.48,-4.514,29.3,7
2.95,-19.316,61.7,7
3.86,-7.76,51.6,7
3.67,-12.307,56.7,7
4.52,-4.852,54.5,7
4.05,-5.854,66.6,7
3.19,-4.642,57.8,7
20.2,-3.946,35.8,7
7.9,-5.443,49.9,7
3.02,-15.572,31.8,7
6.48,-3.816,38.5,7
3.9,-17.892,37.7,7
5.72,-5.573,56.3,7
2.85,-5.472,59.3,7
4.46,-5.253,36.1,7
4.03,-4.486,33.4,7
3.01,-9.717,54.3,7
11,-5.27,44.2,7
5.67,-9.266,73.3,7
2.74,-7.883,56.2,7
3.61,-10.833,63.2,7
11.5,-3.865,47.1,7
24.2,-4.561,51.1,7
4.47,-3.435,59.8,7
8.03,-15.269,62.1,7
8.06,-4.228,52,7
3.91,-7.748,46.6,7
3.99,-10.524,77.6,7
10.5,-5.626,50.6,7
2.52,-3.967,63.4,7
3.58,-5.652,59.6,7
6.84,-3.664,41.4,7
23.1,-3.665,48.1,7
3.54,-8.142,73,7
2.84,-6.189,46.5,7
6.01,-6.035,45.8,7
12.4,-3.623,53.1,7
6.08,-3.321,49.3,7
3.75,-7.606,31.8,7
3.8,-8.428,16.6,7
5.54,-3.923,68,7
5.74,-4.467,39.6,7
5.1,-6.856,16.8,7
5.95,-5.006,48,7
3.12,-8.744,72.4,7
6.56,-4.657,53.1,7
4.39,-6.891,47.8,7
6.45,-10.778,37.9,7
4.25,-10.099,60.7,7
4.12,-8.09,59.5,7
3.99,-6.475,58.2,7
4.58,-3.78,22.5,7
3.16,-8.995,41.9,7
4.54,-5.369,67.9,7
3.11,-8.379,58.5,7
19,-3.156,37.3,7
2.8,-9.684,65.2,7
26.2,-3.86,37.8,7
4.99,-9.666,41.5,7
2.84,-10.251,72.8,7
