speechiness,loudness,danceability,energy,,target,
332,-7999,389,396,,7,396000
1490,-3377,379,949,,7,949000
320,-7480,570,688,,7,688000
860,-6431,442,892,,7,892000
250,-8907,571,405,,7,405000
272,-5912,490,817,,7,817000
1030,-5681,620,768,,7,768000
570,-4907,509,584,,7,584000
435,-5892,455,811,,7,811000
391,-5289,610,812,,7,812000
826,-5393,507,950,,7,950000
1010,-14309,416,821,,7,821000
440,-9175,612,860,,7,860000
516,-7441,522,694,,7,694000
452,-7327,215,927,,7,927000
403,-1986,420,965,,7,965000
304,-6736,638,699,,7,699000
512,-4913,575,936,,7,936000
1330,-4793,574,913,,7,913000
756,-7914,677,710,,7,710000
432,-10446,297,585,,7,585000
427,-15076,469,486,,7,486000
353,-9687,379,237,,7,237000
508,-4517,495,768,,7,768000
491,-4405,480,909,,7,909000
360,-7340,645,792,,7,792000
304,-15474,562,383,,7,383000
1260,-4054,238,946,,7,946000
412,-12255,623,622,,7,622000
3040,-4215,466,833,,7,833000
255,-14575,501,437,,7,437000
552,-6554,559,674,,7,674000
332,-3682,496,837,,7,837000
676,-4644,513,848,,7,848000
423,-6480,503,685,,7,685000
637,-4991,374,963,,7,963000
407,-9925,510,706,,7,706000
357,-6388,484,956,,7,956000
1550,-5083,555,977,,7,977000
2580,-6766,444,909,,7,909000
306,-6285,548,640,,7,640000
354,-6416,403,777,,7,777000
386,-8138,402,760,,7,760000
327,-4132,503,765,,7,765000
1490,-4314,389,767,,7,767000
314,-15763,581,468,,7,468000
861,-12774,774,510,,7,510000
754,-5270,533,905,,7,905000
631,-5425,499,642,,7,642000
250,-9165,529,586,,7,586000
502,-4870,552,909,,7,909000
272,-4849,588,559,,7,559000
835,-5319,192,737,,7,737000
4730,-2318,252,957,,7,957000
246,-11135,629,356,,7,356000
959,-3873,522,880,,7,880000
399,-2625,675,766,,7,766000
341,-7182,503,568,,7,568000
364,-7318,548,675,,7,675000
414,-1690,393,852,,7,852000
497,-6481,696,666,,7,666000
519,-3878,597,907,,7,907000
2110,-3175,462,990,,7,990000
613,-5773,694,765,,7,765000
568,-8786,301,813,,7,813000
570,-4907,509,584,,7,584000
761,-2869,623,927,,7,927000
292,-12329,617,520,,7,520000
1440,-4460,261,992,,7,992000
566,-6342,424,856,,7,856000
323,-2572,412,823,,7,823000
340,-5963,306,722,,7,722000
840,-6246,427,617,,7,617000
662,-4173,457,942,,7,942000
1020,-3541,475,971,,7,971000
1040,-8580,532,882,,7,882000
275,-7497,502,504,,7,504000
531,-7361,333,820,,7,820000
331,-9897,767,787,,7,787000
2900,-3378,274,984,,7,984000
374,-7516,640,663,,7,663000
1170,-3173,325,903,,7,903000
474,-15925,382,443,,7,443000
256,-7547,590,509,,7,509000
267,-6977,612,676,,7,676000
