speechiness,loudness,danceability,target
295,-9113,379,1
386,-7760,516,1
315,-5176,385,1
338,-5603,502,1
788,-6268,527,1
582,-5301,676,1
740,-5277,855,1
539,-2122,627,1
3430,-11450,695,1
497,-10164,653,1
419,-4530,425,1
811,-5420,583,1
571,-7822,641,1
1860,-6210,887,1
343,-5854,528,1
290,-6174,697,1
659,-4724,505,1
392,-4657,294,1
362,-6746,446,1
1990,-4758,348,1
278,-7987,676,1
580,-7239,339,1
276,-6427,627,1
1570,-3205,510,1
310,-9357,448,1
302,-4722,660,1
323,-5722,644,1
1270,-4075,633,1
308,-8398,558,1
513,-3895,562,1
427,-12436,628,1
676,-6903,674,1
350,-9769,320,1
453,-9070,266,1
315,-8622,675,1
1520,-11889,310,1
463,-6625,705,1
1160,-6384,510,1
342,-7069,432,1
316,-9342,389,1
353,-14178,519,1
347,-3818,706,1
300,-10072,669,1
692,-5669,824,1
365,-8176,616,1
355,-6473,694,1
438,-9887,602,1
401,-4437,493,1
392,-7150,318,1
329,-9087,395,1
849,-5818,479,1
675,-6248,530,1
479,-5931,597,1
323,-4837,684,1
297,-5703,624,1
291,-10916,627,1
348,-7592,529,1
782,-7767,736,1
291,-11233,394,1
518,-10434,641,1
434,-4991,346,1
430,-14209,494,1
1330,-10390,615,1
385,-11493,550,1
380,-9026,314,1
317,-8467,509,1
355,-7552,578,1
896,-4975,545,1
313,-11093,550,1
399,-6475,582,1
265,-6843,603,1
759,-10210,661,1
437,-3822,640,1
437,-5490,582,1
311,-7085,780,1
271,-7496,741,1
1250,-4975,583,1
322,-5852,466,1
317,-7393,565,1
299,-14092,322,1
601,-7424,683,1
761,-6506,394,1
394,-4557,481,1
317,-4816,605,1
267,-11396,543,1
401,-4691,391,1
434,-7544,783,1
661,-6842,606,1
664,-7616,573,1
2210,-4718,639,1
735,-6136,525,1
446,-5317,482,1
324,-5787,413,1
1140,-5383,406,1
399,-3943,582,1
441,-11060,719,1
853,-7519,594,1
412,-5865,538,1
652,-3635,584,1
311,-8896,760,1
369,-6785,563,1
340,-12554,340,1
446,-6356,467,1
483,-13319,593,1
2640,-6174,654,1
327,-9258,402,1
312,-18251,551,1
508,-9410,779,1
380,-8998,248,1
654,-7086,589,1
648,-3816,385,1
300,-12621,731,1
499,-8050,794,1
455,-12052,783,1
678,-1163,330,1
426,-4494,340,1
443,-7646,627,1
1400,-3586,372,1
508,-3300,447,1
342,-6905,249,1
321,-20796,270,1
277,-4385,625,1
404,-7998,341,1
344,-5838,383,1
1050,-5626,506,1
589,-3241,375,1
611,-10464,503,1
427,-7087,826,1
468,-5456,398,1
762,-3942,392,1
364,-5315,644,1
350,-6323,568,1
641,-6938,618,1
910,-8164,345,1
405,-7390,196,1
370,-9053,474,1
692,-7713,756,1
392,-6951,638,1
762,-7109,837,1
274,-5815,653,1
300,-12621,731,1
1910,-5192,535,1
1990,-4758,348,1
553,-4956,982,1
246,-6195,590,1
262,-5387,598,1
325,-9407,498,1
293,-10340,544,1
354,-8708,527,1
261,-7930,605,1
256,-7358,597,1
879,-10864,651,1
260,-9604,568,1
410,-2719,685,1
356,-4569,677,1
318,-9996,451,1
358,-9549,565,1
538,-5015,450,1
647,-6422,615,1
452,-3249,438,1
1330,-6051,513,1
368,-6371,464,1
5390,-13825,696,1
456,-5824,319,1
559,-5889,720,1
1110,-10754,531,1
360,-6869,545,1
227,-7619,650,1
588,-4742,550,1
1030,-3139,176,1
1130,-1742,323,1
417,-9973,329,1
441,-3801,352,1
249,-6907,530,1
2190,-2874,488,1
353,-5619,639,1
445,-9941,830,1
342,-20447,95.1,1
354,-8708,527,1
319,-6612,469,1
800,-5936,724,1
452,-7327,215,1
784,-7399,624,1
277,-7431,589,1
435,-3562,294,1
437,-15249,63.5,1
783,-5885,209,1
320,-9930,481,1
2390,-7565,871,1
278,-8522,539,1
483,-7707,304,1
322,-5874,537,1
1440,-9149,697,1
515,-3970,598,1
331,-9897,767,1
4960,-4174,670,1
550,-6659,551,1
336,-5438,508,1
778,-9711,345,1
1230,-6602,449,1
800,-9027,673,1
425,-5316,814,1
3760,-3157,623,1
462,-7570,887,1
347,-12888,527,1
301,-7481,542,1
283,-5186,641,1
264,-8729,569,1
351,-7067,530,1
458,-6103,573,1
371,-4666,549,1
517,-6912,842,1
276,-9882,465,1
258,-9129,360,1
562,-6952,351,1
973,-4771,400,1
464,-15895,554,1
1090,-16729,575,1
551,-8948,488,1
926,-4210,318,1
1350,-6796,918,1
570,-10233,710,1
461,-4122,607,1
308,-5685,391,1
311,-5643,525,1
608,-12750,636,1
303,-6613,527,1
2510,-9528,854,1
902,-3778,376,1
1280,-7853,297,1
1620,-7615,543,1
337,-5485,468,1
434,-4991,346,1
3680,-6800,677,1
891,-8118,463,1
452,-3602,500,1
448,-8451,435,1
302,-9149,695,1
520,-8201,521,1
301,-5284,831,1
328,-4687,696,1
301,-5413,696,1
253,-7369,573,1
433,-7700,353,1
340,-9664,712,1
807,-10017,796,1
1500,-8201,460,1
964,-10345,824,1
329,-6731,381,1
254,-6471,599,1
2120,-4762,639,1
311,-5927,511,1
2740,-8938,784,1
487,-14392,562,1
1190,-5408,307,1
1470,-3090,441,1
484,-9303,658,1
302,-11859,470,1
965,-8744,822,1
1690,-2590,379,1
286,-10493,508,1
348,-4262,639,1
987,-5972,446,1
242,-5975,713,1
1660,-10751,606,1
452,-7327,215,1
428,-6255,232,1
445,-5338,696,1
465,-3857,496,1
297,-8862,568,1
392,-8954,639,1
1610,-6944,350,1
394,-2485,416,1
762,-5928,468,1
4890,-3837,520,1
365,-7390,468,1
372,-9935,515,1
321,-8583,616,1
329,-6731,381,1
392,-6664,698,1
298,-8951,666,1
340,-5581,293,1
526,-8276,764,1
395,-6354,697,1
395,-8306,677,1
347,-6711,560,1
364,-18822,200,1
796,-11494,330,1
613,-8123,721,1
285,-6722,678,1
759,-8503,694,1
1140,-2481,251,1
1390,-7109,313,1
405,-21482,366,1
686,-3348,521,1
543,-9150,289,1
362,-4118,413,1
581,-6112,633,1
595,-11248,754,1
456,-5824,319,1
327,-6660,580,1
266,-9339,736,1
292,-8412,642,1
2250,-7975,611,1
831,-12340,620,1
650,-5929,755,1
248,-7794,632,1
2970,-7980,636,1
799,-7828,726,1
293,-4041,502,1
927,-5399,838,1
291,-6110,643,1
399,-10007,657,1
309,-7814,712,1
435,-8721,464,1
332,-7442,497,1
525,-4489,551,1
362,-7365,709,1
958,-10429,520,1
1020,-7332,324,1
873,-6577,677,1
613,-5513,530,1
313,-3817,241,1
380,-9026,314,1
404,-8482,584,1
255,-11908,560,1
1070,-8220,629,1
277,-5926,579,1
314,-4886,326,1
344,-5704,554,1
610,-4881,167,1
315,-4116,265,1
426,-6315,581,1
428,-8712,762,1
655,-13340,762,1
923,-6788,180,1
355,-5610,552,1
333,-7949,774,1
358,-7617,572,1
287,-5687,751,1
257,-9697,456,1
859,-7051,463,1
1380,-11152,551,1
368,-10740,659,1
297,-3848,600,1
553,-4796,635,1
657,-8265,350,1
3570,-4530,873,1
487,-4202,427,1
359,-3634,444,1
436,-8688,461,1
443,-22761,363,1
789,-7714,277,1
437,-7684,475,1
505,-9454,665,1
547,-5511,581,1
409,-10278,567,1
720,-10814,695,1
1110,-2497,464,1
457,-5876,500,1
267,-8159,563,1
425,-9494,561,1
409,-12668,593,1
614,-4344,379,1
2190,-8815,689,1
335,-4496,701,1
865,-8358,828,1
277,-7389,760,1
3050,-11127,804,1
2670,-11080,806,1
489,-6102,783,1
408,-23791,297,1
365,-10855,693,1
346,-4272,611,1
391,-6358,561,1
412,-9885,684,1
372,-9214,422,1
301,-16608,379,1
521,-3628,673,1
441,-3310,467,1
751,-2218,337,1
378,-23323,152,1
330,-8387,691,1
317,-7099,765,1
981,-4882,551,1
392,-7150,318,1
1070,878,235,1
366,-9894,733,1
321,-4353,389,1
536,-3910,542,1
392,-8954,639,1
675,-6248,530,1
505,-3945,237,1
397,-9765,765,1
1380,-3632,378,1
648,-3816,385,1
609,-7014,485,1
462,-9002,641,1
3640,-9755,820,1
461,-6208,725,1
346,-7182,538,1
706,-5086,247,1
652,-13330,745,1
289,-6284,711,1
639,-4409,558,1
763,-5650,383,1
3350,-11178,962,1
328,-4687,696,1
867,-2713,685,1
367,-5541,413,1
303,-7066,568,1
370,-7786,446,1
837,-5625,533,1
356,-4190,535,1
453,-13679,751,1
394,-4557,481,1
275,-7064,694,1
263,-10313,616,1
448,-2896,412,1
1170,-2640,112,1
332,-6045,390,1
307,-4166,503,1
401,-10659,688,1
337,-8277,571,1
296,-11199,466,1
448,-7339,531,1
280,-6857,462,1
334,-8898,419,1
519,-4615,606,1
264,-7760,657,1
855,-9121,521,1
852,-4169,526,1
614,-9658,755,1
3660,-3567,943,1
1770,-4409,440,1
559,-3658,764,1
998,-7038,273,1
380,-11098,415,1
552,-10153,648,1
305,-8576,593,1
723,-3281,117,1
3940,-7872,871,1
906,-6514,654,1
649,-3278,502,1
416,-5576,573,1
855,-3435,613,1
