4.03,-8.101,56.6,686,9780,1,,,
3.76,-12.97,16.6,391,86000000,1,,,
3.55,-6.126,68.5,669,72900000,1,,,
4.99,-6.706,37.8,724,323,1,,,
3.1,-5.13,68.7,630,5760000,1,,,
3.61,-5.559,59,762,5030000,1,,,
4.24,-6.242,55.1,885,21200000,1,,,
4.13,-5.443,76.4,759,903000,1,,,
35.7,-7.737,85.9,777,31400000,1,,,
3.26,-14.991,54.8,161,86100000,1,,,
3,-4.124,47.8,589,12100000,1,,,
3.51,-8.188,50.4,471,51800000,1,,,
2.79,-7.239,57.3,642,7340000,1,,,
2.64,-4.275,43.5,756,3240,1,,,
3.05,-10.624,40.1,295,87300000,1,,,
3.86,-3.902,49.9,873,468000,1,,,
3.32,-3.959,47.5,807,1360000,1,,,
14.3,-4.523,50.2,960,28800000,1,,,
3.87,-4.701,28.2,932,12000000,1,,,
3.97,-8.6,49.2,553,40600000,1,,,
30.9,-7.675,83.7,646,8510000,1,,,
4.89,-6.684,46.1,955,11100000,1,,,
3.74,-9.192,78,747,37600,1,,,
2.88,-7.73,60.3,443,53300000,1,,,
3.63,-5.54,55.3,740,9870000,1,,,
8.8,-12.612,77.2,435,3330000,1,,,
5.94,-7.863,56.5,769,1350000,1,,,
2.89,-7.029,61,895,1180000,1,,,
2.8,-5.298,42.4,830,30700,1,,,
3.62,-4.756,45.7,804,20600,1,,,
12,-4.352,80.3,510,23900000,1,,,
4.39,-13.407,53.6,808,5790000,1,,,
4,-10.615,65,600,2780000,1,,,
23.6,-4.18,68.7,541,9100000,1,,,
8.32,-5.494,39.1,958,18100,1,,,
2.92,-7.326,49.9,491,3110000,1,,,
2.56,-6.73,68.5,645,18200000,1,,,
2.95,-9.252,42.1,491,18200000,1,,,
6.44,-9.656,49.1,817,12900000,1,,,
4.46,-8.573,62.3,852,2410000,1,,,
3.44,-4.874,51.9,771,48000,1,,,
3.94,-4.557,48.1,956,465000,1,,,
5.62,-6.629,38.5,694,7040000,1,,,
3.95,-7.75,40.9,717,57800,1,,,
7.44,-5.023,39,972,28700,1,,,
7.27,-3.724,47.1,888,3060000,1,,,
6.36,-4.314,31.5,826,64000,1,,,
3.65,-20.924,16.3,191,93700000,1,,,
9.31,-1.531,36.9,996,3830,1,,,
3.13,-9.659,66.3,699,48500000,1,,,
3.59,-6.973,57.4,857,2680000,1,,,
4.62,-4.744,75.7,706,3260000,1,,,
4.4,-5.966,54.5,651,79200,1,,,
2.99,-9.951,41.3,440,6630000,1,,,
9.9,-5.633,50.9,933,203000,1,,,
2.82,-5.635,74.7,875,733000,1,,,
3.23,-7.596,54.8,532,18600000,1,,,
2.83,-9.56,58.9,382,56700000,1,,,
3.54,-7.742,63.2,601,44800000,1,,,
5.15,-3.97,59.8,911,22200000,1,,,
3.98,-7.195,49.4,936,1120000,1,,,
3.85,-6.108,61.6,605,9120000,1,,,
4.18,-4.906,65.4,784,31400,1,,,
4,-12.217,41.7,586,35800,1,,,
3.48,-7.592,23.6,582,5840000,1,,,
3,-7.898,60.3,483,59900000,1,,,
5.54,-4.157,34.4,925,1060000,1,,,
9.32,-1.205,37.7,991,81000,1,,,
2.75,-7.31,64.6,669,1480000,1,,,
2.93,-4.509,44.3,737,149000,1,,,
3.34,-5.78,64.5,910,18300000,1,,,
6.13,-8.123,72.1,521,7080000,1,,,
3.01,-5.27,66,578,2480000,1,,,
7.32,-4.436,66.4,947,2740000,1,,,
3.58,-23.396,15.2,62.5,61900000,1,,,
4.44,-23.502,7.61,136,57400000,1,,,
2.99,-8.363,54.4,574,2170000,1,,,
9.75,-5.005,54.2,923,1100000,1,,,
6.86,-14.68,81,425,63800000,1,,,
3.3,-17.119,18.4,207,94000000,1,,,
11.6,-6.055,45,992,25300,1,,,
3.4,-6.894,68.1,499,5890000,1,,,
8.38,-18.168,70.3,523,5410000,1,,,
3.74,-4.831,43.1,782,495000,1,,,
6.73,-4.544,45.7,930,3090000,1,,,
5.04,-7.637,70.4,663,3950000,1,,,
4.7,-8.959,56.5,468,79400000,1,,,
5.79,-8.947,81.2,725,2770000,1,,,
5.26,-5.428,64.3,849,3710000,1,,,
14.1,-5.922,55.1,831,6400000,1,,,
3.44,-5.682,40.1,933,744000,1,,,
4.02,-16.515,18,198,29700000,1,,,
2.58,-9.129,36,501,6380000,1,,,
3.43,-9.086,46.2,753,1360000,1,,,
3.09,-7.814,71.2,354,38600000,1,,,
23.6,-9.114,38.8,449,66800000,1,,,
6.13,-3.974,41.6,819,13800,1,,,
2.75,-13.766,67.9,401,34800000,1,,,
4.32,-7.015,33.8,794,1810000,1,,,
8.78,-6.852,31.1,632,2060000,1,,,
11.3,-8.896,72.6,537,31600000,1,,,
21,-3.874,19.8,964,24500,1,,,
3.81,-2.776,46.3,836,41800,1,,,
27.4,-8.478,83.3,600,20200000,1,,,
2.58,-10.711,60,613,1040000,1,,,
6.92,-5.707,29.3,667,1120,1,,,
11.9,-6.104,44.4,884,751000,1,,,
3.17,-4.631,50.1,818,203000,1,,,
17.3,-4.774,44.6,778,20100,1,,,
